COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Maldives,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2021,-14.18,Units
Maldives,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2022,-11.16,Units
Maldives,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2023,-13.17,Units
Maldives,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2024,-13.90,Units
Maldives,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2025,-9.39,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-3.81,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,9.76,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,4.11,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,1.82,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,4.39,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.23,Units
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-1.01,Units
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-7.70,Units
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-12.56,Units
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-0.88,Units
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,3.87,Units
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,6.60,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-6.01,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,-11.91,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,-0.46,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,1.22,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,12.01,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.49,Units
"Korea, Republic of","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2020,-2.11,Units
"Korea, Republic of","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2021,-0.02,Units
"Korea, Republic of","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2022,-1.49,Units
"Korea, Republic of","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2023,-0.67,Units
"Korea, Republic of","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2024,-0.78,Units
"Korea, Republic of","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2025,-1.52,Units
"Solomon Islands","All Items, Consumer price index (CPI), Period average, percent change",Annual,2020,2.93,Units
"Solomon Islands","All Items, Consumer price index (CPI), Period average, percent change",Annual,2021,0.18,Units
"Solomon Islands","All Items, Consumer price index (CPI), Period average, percent change",Annual,2022,5.40,Units
"Solomon Islands","All Items, Consumer price index (CPI), Period average, percent change",Annual,2023,5.09,Units
"Solomon Islands","All Items, Consumer price index (CPI), Period average, percent change",Annual,2024,4.23,Units
"Solomon Islands","All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,3.44,Units
Vietnam,"Unemployment rate",Annual,2020,2.48,Units
Vietnam,"Unemployment rate",Annual,2021,3.20,Units
Vietnam,"Unemployment rate",Annual,2022,2.32,Units
Vietnam,"Unemployment rate",Annual,2023,2.30,Units
Vietnam,"Unemployment rate",Annual,2024,2.20,Units
Vietnam,"Unemployment rate",Annual,2025,2.25,Units
Australia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2020,-8.73,Units
Australia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2021,-6.37,Units
Australia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2022,-2.21,Units
Australia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2023,-1.27,Units
Australia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2024,-2.25,Units
Australia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2025,-2.73,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-9.52,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,5.71,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,7.58,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,5.52,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,5.69,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,5.44,Units
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2020,-6.07,Units
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2021,-4.40,Units
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2022,-2.31,Units
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2023,-1.64,Units
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2024,-2.30,Units
Indonesia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2025,-2.79,Units
"Papua New Guinea","All Items, Consumer price index (CPI), Period average, percent change",Annual,2020,4.87,Units
"Papua New Guinea","All Items, Consumer price index (CPI), Period average, percent change",Annual,2021,4.48,Units
"Papua New Guinea","All Items, Consumer price index (CPI), Period average, percent change",Annual,2022,5.25,Units
"Papua New Guinea","All Items, Consumer price index (CPI), Period average, percent change",Annual,2023,2.30,Units
"Papua New Guinea","All Items, Consumer price index (CPI), Period average, percent change",Annual,2024,0.59,Units
"Papua New Guinea","All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,4.79,Units
"Hong Kong Special Administrative Region, People's Republic of China","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2020,-9.23,Units
"Hong Kong Special Administrative Region, People's Republic of China","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2021,0.01,Units
"Hong Kong Special Administrative Region, People's Republic of China","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2022,-6.57,Units
"Hong Kong Special Administrative Region, People's Republic of China","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2023,-5.65,Units
"Hong Kong Special Administrative Region, People's Republic of China","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2024,-5.82,Units
"Hong Kong Special Administrative Region, People's Republic of China","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2025,-4.82,Units
"Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-5.80,Units
"Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,2.26,Units
"Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,8.92,Units
"Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,3.87,Units
"Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,1.08,Units
