COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Tuvalu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,4.03,Units
Tuvalu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,3.08,Units
Tuvalu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.02,Units
Bhutan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-2.46,Units
Bhutan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,-3.29,Units
Bhutan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,4.83,Units
Bhutan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,5.04,Units
Bhutan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,4.25,Units
Bhutan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,6.79,Units
"Micronesia, Federated States of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-1.98,Units
"Micronesia, Federated States of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,3.10,Units
"Micronesia, Federated States of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,-2.91,Units
"Micronesia, Federated States of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,0.48,Units
"Micronesia, Federated States of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,0.72,Units
"Micronesia, Federated States of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,0.99,Units
India,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-5.78,Units
India,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,9.69,Units
India,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,7.61,Units
India,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,9.19,Units
India,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,6.49,Units
India,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,6.65,Units
"Solomon Islands","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-3.38,Units
"Solomon Islands","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,2.56,Units
