COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
"Sri Lanka","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,2.94,Units
"Sri Lanka","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,1.76,Units
"Timor-Leste, Democratic Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,23.81,Units
"Timor-Leste, Democratic Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,46.81,Units
"Timor-Leste, Democratic Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,12.72,Units
"Timor-Leste, Democratic Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-8.53,Units
"Timor-Leste, Democratic Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-28.05,Units
"Timor-Leste, Democratic Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-31.07,Units
Bangladesh,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-1.45,Units
Bangladesh,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-1.10,Units
Bangladesh,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-3.95,Units
Bangladesh,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-2.58,Units
Bangladesh,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-1.45,Units
Bangladesh,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,0.03,Units
Kiribati,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,32.16,Units
Kiribati,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,7.09,Units
Kiribati,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-12.02,Units
Kiribati,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-1.77,Units
Kiribati,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-19.33,Units
Kiribati,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-10.48,Units
Philippines,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,3.20,Units
Philippines,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-1.51,Units
Philippines,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-4.52,Units
Philippines,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-2.83,Units
Philippines,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-3.96,Units
Philippines,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-3.81,Units
"Marshall Islands, Republic of the","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,14.91,Units
"Marshall Islands, Republic of the","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,22.69,Units
"Marshall Islands, Republic of the","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,10.05,Units
"Marshall Islands, Republic of the","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,16.82,Units
"Marshall Islands, Republic of the","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,13.97,Units
"Marshall Islands, Republic of the","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,10.29,Units
Mongolia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-5.07,Units
Mongolia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-13.79,Units
Mongolia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-13.43,Units
Mongolia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,0.60,Units
Mongolia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-10.45,Units
Mongolia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-14.35,Units
"Papua New Guinea","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,14.36,Units
"Papua New Guinea","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,12.58,Units
"Papua New Guinea","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,14.43,Units
"Papua New Guinea","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,9.11,Units
"Papua New Guinea","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,15.19,Units
"Papua New Guinea","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,10.77,Units
"Macao Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,14.81,Units
"Macao Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,8.73,Units
"Macao Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,13.90,Units
"Macao Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,31.40,Units
"Macao Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,35.77,Units
"Macao Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,35.51,Units
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,2.97,Units
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,3.89,Units
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,2.11,Units
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,3.71,Units
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,4.82,Units
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,3.90,Units
Myanmar,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-0.38,
Myanmar,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-2.19,
Myanmar,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-2.90,
Myanmar,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-1.91,
Myanmar,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-1.08,
Myanmar,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-2.34,
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,17.50,Units
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,19.80,Units
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,18.42,Units
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,17.69,Units
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,17.54,Units
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,17.40,Units
Vietnam,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,4.35,Units
Vietnam,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-2.20,Units
Vietnam,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,0.34,Units
Vietnam,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,6.37,Units
Vietnam,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,6.64,Units
Vietnam,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,4.05,Units
